,event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
7,shot,a62c7f87-6701-4ee7-b182-24cd8407b19c,489,1,00:22:47.650,22,47,54,Reading WFC,From Corner,False,Reading WFC,Fara Tanya Franki Williams Merrett,Right Center Midfield,0.7084,,0.034181435,db811ef2-b994-4d6f-912a-d6c05ba83eb6,Right Foot,Open Play,Blocked,Normal,,,,,,,99.0,48.0,110.0,43.0,
8,shot,e1620f4b-6e12-4356-8474-853fa8a39f04,645,1,00:30:55.118,30,55,73,Reading WFC,From Free Kick,False,Reading WFC,Brooke Chaplen,Left Center Forward,0.4216,,0.10847705,388d3473-9f84-4c3e-af6f-315568a20f23,Right Foot,Open Play,Saved,Normal,,,,True,,,110.0,25.0,118.0,36.4,0.4
9,shot,01ab5836-0da9-4943-98de-f93aa15e53d9,649,1,00:31:42.915,31,42,74,Reading WFC,From Corner,False,Reading WFC,Josanne Potter,Left Center Back,0.2135,,0.034550443,507246a0-8858-4176-a402-eeb104a1bacc,Left Foot,Open Play,Blocked,Normal,,,,,,,111.0,52.0,108.0,51.0,
10,shot,804e9096-c0f9-47ee-8f69-7316311fb524,730,1,00:37:06.958,37,6,85,West Ham United LFC,Regular Play,False,West Ham United LFC,Jane Ross,Right Center Forward,2.086106,,0.07192256,e9b98579-61c4-45c4-b71f-4d86b3b438c0,Left Foot,Open Play,Off T,Normal,,,,,,,112.0,29.0,120.0,35.1,0.8
11,shot,e892abb4-bd95-4d27-97de-73bdc4e1e641,790,1,00:39:58.461,39,58,93,West Ham United LFC,From Corner,False,West Ham United LFC,Brooke Hendrix,Right Center Back,1.028185,,0.047895234,f842785b-9571-49bc-a5aa-bf97b3006d83,Head,Open Play,Off T,Normal,,,,,,,113.0,45.0,120.0,39.3,3.0
12,shot,48c9982a-aed7-412b-a4df-bf021b1f05b5,890,1,00:45:45.547,45,45,105,Reading WFC,Regular Play,False,Reading WFC,Remi Allen,Left Midfield,1.070363,,0.10549764,62b6f48e-4f16-4a5b-b2d4-7f6ec09b2899,Right Foot,Open Play,Saved,Normal,,,,,,,102.0,26.0,118.0,40.2,1.2
13,shot,935d8436-5c36-4ca3-9b88-aea80fb20b7a,959,2,00:01:57.799,46,57,111,West Ham United LFC,Regular Play,False,West Ham United LFC,Julia Simic,Right Wing,1.4593,,0.04042363,0836d031-8d8a-4f9f-a81c-494105f0144d,Left Foot,Open Play,Saved,Normal,,True,,,,,99.0,36.0,118.0,42.0,1.9
14,shot,c84c2fef-cd6e-4b8c-b669-07df2b1d446d,1014,2,00:06:18.661,51,18,119,Reading WFC,From Free Kick,False,Reading WFC,Remi Allen,Left Midfield,0.2196,,0.038752712,,Right Foot,Open Play,Blocked,Normal,,,,,,,100.0,34.0,103.0,33.0,
15,shot,6b1909b9-b5fc-4ce9-94af-7bd5ba403dca,1018,2,00:06:20.636,51,20,119,Reading WFC,From Free Kick,False,Reading WFC,Sophie Howard,Right Back,1.994593,,0.021735853,,Right Foot,Open Play,Off T,Normal,,,,,,,92.0,52.0,120.0,36.4,3.3
16,shot,6757af32-70ae-4c64-b4af-a7a230ba8679,1170,2,00:14:43.563,59,43,139,Reading WFC,From Free Kick,False,Reading WFC,Josanne Potter,Left Center Back,1.1448,,0.026414469,,Right Foot,Free Kick,Saved,Normal,,,,,,,97.0,62.0,120.0,43.5,0.4
17,shot,18c74188-b591-4a34-81e7-e5e637bac65a,1173,2,00:14:45.836,59,45,139,Reading WFC,From Free Kick,False,Reading WFC,Remi Allen,Left Midfield,0.612551,,0.044443775,,Right Foot,Open Play,Saved,Normal,,,,,,,114.0,51.0,120.0,43.3,0.4
18,shot,fef44257-93d0-4a2c-ba4e-b447d1b9cae6,1285,2,00:22:10.477,67,10,156,Reading WFC,From Corner,False,Reading WFC,Gemma Suzanne Davison,Right Center Forward,1.206531,,0.16973081,e8a3144a-f089-4f3e-bf12-7baf338a97ae,Right Foot,Open Play,Off T,Normal,,,,,,,110.0,32.0,120.0,34.9,0.4
19,shot,051b30fc-c1f8-4aa1-81ce-616fe0d28a61,1402,2,00:26:14.037,71,14,167,West Ham United LFC,Regular Play,False,West Ham United LFC,Leanne Kiernan,Left Wing,2.246573,,0.010888283,c2425719-c251-45ee-8e5f-7b681ab8dbf1,Right Foot,Open Play,Off T,Normal,,,,,,,90.0,26.0,120.0,34.9,2.3
