id,duration,distance,build_up_duration,shot_technique_normal,shot_technique_lob,shot_technique_half_volley,shot_open_goal,pass_height_name,pass_cut_back,pass_through_ball,follows_goalkeeper,follows_dribble,pass_cross,goal,player_name,team_name,match_id,x_loc,y_loc,pass_player_name
bcea5ecd-b184-4f08-92fc-1f6c963cc832,0.2261,22.02271554554524,6.746405,1,0,0,0,0,0,0,0,0,0,0,Jane Ross,West Ham United LFC,19731,106.0,57.0,Erin Simon
25535e1a-32a0-45df-a529-0b15b1320810,1.567878,32.0,3.025231,1,0,0,0,0,0,0,0,0,0,0,Aileen Whelan,Brighton & Hove Albion WFC,19730,88.0,40.0,Laura Rafferty
5fc0506c-def3-4050-a6c3-944259e9a150,1.084001,9.219544457292887,1.8380860000000003,1,0,0,0,1,0,0,0,0,0,0,Magdalena Ericsson,Chelsea LFC,19748,113.0,46.0,Erin Cuthbert
8392a2db-54b5-45ba-bc58-fd1184369a91,0.133,26.92582403567252,10.057000000000002,1,0,0,0,0,0,0,0,0,0,0,Whitney Church,Washington Spirit,7493,94.0,47.0,Meggie Dougherty Howard
ed638185-adae-41b7-bbd2-f4cb87c95e57,1.156,16.278820596099706,21.093,1,0,0,0,0,0,0,0,0,0,0,Ashley Hatch,Washington Spirit,7479,104.0,37.0,Andi Sullivan
9638e5dd-e3f3-4ffb-80f0-3cee4997827d,1.229,23.53720459187964,8.683,1,0,0,0,0,0,0,0,0,0,0,Alex Morgan,Orlando Pride,7471,97.0,35.0,Dani Weatherholt
94f1ac05-bd83-43db-af2e-fdc45b512b3e,1.413,19.4164878389476,9.318000000000001,1,0,0,0,0,0,0,0,0,0,0,Katrina Gorry,Utah Royals,7521,101.0,44.0,Desiree Scott
932b330b-8d79-4f5a-8dd6-66350a85b56e,1.053,9.486832980505138,12.823999999999998,1,0,0,0,0,0,1,0,0,0,0,Samantha Kerr,Chicago Red Stars,7520,117.0,31.0,Alyssa Mautz
2ce5a623-d888-48bc-ac47-da693f4b9bda,1.4278,22.67156809750927,13.922149,0,0,0,0,2,0,0,0,0,0,1,Caroline Weir,Manchester City WFC,19735,105.0,23.0,Claire Emslie
557fac5a-13af-4437-bb3e-46e0abda11c1,1.7955,43.01162633521314,10.502271,1,0,0,0,0,0,0,0,0,0,0,Millie Bright,Chelsea LFC,19755,79.0,53.0,Sophie Ingle
40281836-3fb8-49a1-bfe7-aac7127bf498,1.6858819999999999,27.65863337187866,4.267823,1,0,0,0,0,0,0,0,0,0,0,Gemma Suzanne Davison,Reading WFC,19772,99.0,22.0,Brooke Chaplen
0332d998-848d-4b57-81f9-b435b3bfab36,1.540897,10.295630140987,12.542404,1,0,0,0,0,0,0,0,0,1,1,Francesca Kirby,Chelsea LFC,19794,111.0,45.0,Erin Cuthbert
04aad16d-acb8-42a0-b6c5-8ced3e9b5edd,0.9479559999999999,7.0710678118654755,1.7005999999999997,1,0,0,0,1,0,0,0,0,0,0,Ellie Mason,Yeovil Town LFC,19802,113.0,39.0,Hannah Short
be76791e-ddde-4814-9af2-51435b504b33,0.069232,36.40054944640259,2.147842,1,0,0,0,0,0,0,0,0,0,0,Erin Cuthbert,Chelsea LFC,19751,85.0,30.0,Francesca Kirby
ebb89ed7-f61f-47cc-8b0c-9f9d7dfe347a,0.9759639999999999,5.385164807134504,1.9710330000000003,1,0,0,0,1,0,0,0,0,0,0,Megan Finnigan,Everton LFC,19746,115.0,42.0,Chloe Kelly
09a4e883-110a-4f15-8bde-860f8ce4f7e7,0.2273,8.94427190999916,19.006593000000002,1,0,0,0,0,0,0,0,0,0,0,Vivianne Miedema,Arsenal WFC,19766,112.0,44.0,Lisa Evans
6429f1f8-134a-40a4-aef2-80ee89ab3976,2.767189,23.08679276123039,18.179518,1,0,0,0,0,0,0,0,0,0,0,So-yun Ji,Chelsea LFC,19776,98.0,47.0,Sophie Ingle
a10bc755-1ff0-4edc-8dae-6abcfc4be1a0,1.071,19.209372712298546,12.695,1,0,0,0,2,0,0,0,1,0,0,Jasmyne Spencer,Seattle Reign,7493,108.0,55.0,Jessica Fishlock
9cdcb309-0b7f-4f8a-b3e2-cf72a3cbac05,2.695,9.433981132056603,2.286,1,0,0,0,1,0,0,0,0,0,0,Abby Erceg,North Carolina Courage,7482,112.0,35.0,McCall Zerboni
dde35352-8f16-4ee7-972b-a70dc5605775,0.1,23.53720459187964,11.058000000000002,1,0,0,0,0,0,0,0,0,0,0,Christen Press,Utah Royals,7496,97.0,45.0,Erika Tymrak
b5709dc5-a6da-48ea-9ad7-cdf800d3092d,0.481786,7.615773105863909,19.166633,1,0,0,1,0,0,0,0,1,0,1,Nikita Parris,Manchester City WFC,19735,113.0,43.0,Caroline Weir
f7b31c19-ad66-4e82-982d-90bb148a2f72,1.1394,23.345235059857504,6.811699999999999,1,0,0,0,0,0,0,0,0,0,0,Christie Murray,Liverpool WFC,19761,103.0,56.0,Courtney Sweetman-Kirk
446e44ff-055d-4552-969e-0544f4673cfc,0.2372,31.064449134018133,17.303029,1,0,0,0,0,0,0,0,0,0,0,Charlie Wellings,Birmingham City WFC,19765,89.0,38.0,Lucy Staniforth
