play_pattern,under_pressure,body_part,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,assisted,distance,angle,duration,goal
Regular Play,0,foot,Normal,0,1,0,0,0,0,1,18.027756377319946,56.309932474020215,0.424734,0
From Goal Kick,0,foot,Normal,0,0,0,0,0,0,1,33.60059523282288,36.52885536698518,1.363856,0
Regular Play,0,foot,Normal,0,1,0,0,0,0,1,25.709920264364875,13.495733280795813,0.894868,0
From Throw In,1,foot,Normal,0,0,0,0,0,0,1,16.643316977093242,57.2647737278924,2.800917,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,17.029386365926403,40.23635830927382,0.8500620000000001,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,33.1058907144937,25.016893478100023,2.411069,0
Regular Play,0,foot,Normal,0,0,0,1,0,0,1,14.560219778561034,74.05460409907715,0.773828,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,10.0,36.86989764584403,0.413273,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,33.13608305156178,5.194428907734807,1.579021,0
From Throw In,0,foot,Normal,0,1,0,0,0,0,1,17.804493814764854,38.15722658736906,1.2800129999999998,0
Regular Play,0,foot,Normal,0,0,0,0,0,1,1,13.152946437965904,8.74616226255521,0.91187,0
Regular Play,1,foot,Normal,0,1,0,0,0,0,0,19.849433241279208,49.08561677997487,1.237201,0
Regular Play,0,foot,Normal,1,0,0,0,0,0,1,22.67156809750927,41.423665625002656,0.975673,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,14.31782106327635,12.0947570770121,0.5543,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,33.734255586866,11.976132444203355,0.8701,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,29.017236257093817,1.9749340108819768,1.85422,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,7.280109889280517,15.945395900922856,0.632831,0
Regular Play,0,foot,Half Volley,0,0,0,0,0,0,0,18.0,0.0,2.2211,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,26.248809496813372,17.744671625056935,1.562603,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,33.83784863137726,34.15969454566943,1.366533,0
From Throw In,0,foot,Normal,0,0,0,0,0,0,1,26.1725046566048,43.45184230102203,1.041123,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,13.892443989449804,30.256437163529267,1.2827,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,23.853720883753127,33.02386755579665,1.813651,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,15.652475842498527,26.56505117707799,0.345,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,7.211102550927977,33.690067525979785,1.077449,1
From Throw In,0,foot,Normal,0,0,0,0,0,1,0,13.92838827718412,21.037511025421818,1.686331,1
From Free Kick,0,foot,Lob,1,0,0,0,0,0,1,21.54065922853801,21.801409486351808,0.090123,0
From Throw In,0,foot,Normal,0,0,0,0,0,0,1,26.40075756488817,52.69605172201657,0.1943,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,30.08321791298265,15.42216131873867,1.2263620000000002,0
From Throw In,0,foot,Normal,1,0,0,0,0,0,1,7.071067811865476,8.130102354155978,0.560013,1
From Throw In,0,foot,Normal,1,0,0,0,0,0,1,27.313000567495326,23.749494492866763,0.6374,0
Regular Play,0,foot,Normal,0,0,0,0,0,1,1,26.90724809414742,41.98721249581666,1.4378,1
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,36.069377593742864,43.87669728592458,1.317598,0
Regular Play,1,foot,Normal,0,0,0,0,0,0,1,20.615528128088304,50.9061411137705,1.028393,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,26.570660511172854,19.798876354524925,1.1856,0
From Counter,0,foot,Normal,0,1,0,0,0,0,1,20.518284528683196,43.025065989118026,1.039099,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,25.079872407968914,4.573921259900861,1.3169620000000002,0
From Throw In,0,foot,Normal,1,0,0,0,0,0,1,14.31782106327635,77.90524292298791,0.5499,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,24.041630560342607,45.0,0.8182590000000001,0
From Counter,0,head,Normal,0,0,0,0,0,0,1,13.45362404707371,41.98721249581666,0.561653,0
From Throw In,1,foot,Normal,0,0,0,0,0,0,1,19.104973174542803,42.87890360333855,1.348743,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,19.104973174542803,47.121096396661464,0.669093,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,7.280109889280517,15.945395900922856,1.399145,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,26.248809496813372,40.36453657309736,1.330726,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,14.866068747318506,19.653824058053306,1.002941,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,27.892651361962706,14.534455080540123,1.870228,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,21.93171219946131,46.847610265994604,0.677774,0
From Keeper,0,foot,Normal,0,0,0,0,0,0,1,26.0,22.61986494804043,2.236992,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,20.591260281974,60.94539590092286,1.162707,0
From Throw In,0,foot,Normal,0,1,0,0,0,0,1,13.601470508735444,53.972626614896406,1.021702,0
From Throw In,0,foot,Normal,0,0,0,0,0,0,1,25.45584412271571,45.0,1.778398,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,24.186773244895647,29.74488129694222,1.061399,0
From Free Kick,0,head,Normal,0,0,0,0,0,0,1,9.848857801796104,23.962488974578186,0.888854,0
From Corner,0,head,Diving Header,0,0,0,0,0,0,1,15.264337522473747,31.60750224624891,1.3950360000000002,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,31.780497164141412,65.85445803957835,1.380018,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,19.209372712298546,51.34019174590991,0.660538,0
From Corner,0,head,Diving Header,0,0,0,0,0,0,1,17.4928556845359,30.96375653207352,0.567175,0
Regular Play,0,foot,Backheel,0,0,0,0,0,0,1,11.6619037896906,30.96375653207352,1.285325,0
From Free Kick,0,foot,Half Volley,0,0,0,1,0,0,1,15.811388300841895,71.56505117707798,1.351734,0
From Corner,0,foot,Normal,0,1,0,0,0,0,1,13.601470508735444,72.89727103094764,1.055251,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,22.13594362117865,18.434948822922014,0.5504100000000001,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,30.0,36.86989764584403,2.140323,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,19.416487838947603,55.4914770123316,1.403119,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,10.44030650891055,16.699244233993618,0.502165,0
From Corner,0,foot,Normal,0,0,0,0,0,0,0,10.816653826391967,56.309932474020215,0.184881,0
From Corner,0,foot,Volley,0,0,0,0,0,0,0,17.4928556845359,59.036243467926475,0.495975,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,23.40939982143925,19.98310652189998,1.462389,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,22.803508501982762,37.874983651098205,1.527016,0
From Free Kick,0,foot,Normal,0,1,0,0,0,0,0,16.031219541881402,3.576334374997351,0.438644,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,12.727922061357855,45.0,0.612685,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,36.22154055254967,6.340191745909909,3.2998510000000003,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,9.219544457292887,12.528807709151511,2.1801,0
Regular Play,0,foot,Normal,0,1,0,0,0,0,1,15.264337522473747,31.60750224624891,1.255,0
From Throw In,0,foot,Normal,0,0,0,0,0,0,1,23.53720459187964,12.2647737278924,0.947585,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,14.7648230602334,28.300755766006368,0.6467,0
